id_str,_id,id_str,created_at,emotion_label,processed_text,raw_text
1231175910751195137,{'$oid': '5e5117bb4ed687673b956b72'},1231175910751195137,2020-02-22 11:16:25,happy,"Getting ready for action 😁
#Shadowhunters #SaveShadowhunters https://t.co/Ock3lJWuPs","Getting ready for action 😁
#Shadowhunters #SaveShadowhunters https://t.co/Ock3lJWuPs"
1231175913611636736,{'$oid': '5e5117bb4ed687673b956b73'},1231175913611636736,2020-02-22 11:16:26,happy," Yeyi am with you there, me & needles🏃🏾‍♂️🏃🏾‍♂️ I once attempted to sew my shirt button & pricked my  https://t.co/hmmzLWEjoN","@NthabeyK Yeyi am with you there, me &amp; needles🏃🏾‍♂️🏃🏾‍♂️ I once attempted to sew my shirt button &amp; pricked my finge… https://t.co/hmmzLWEjoN"
1231175917948542976,{'$oid': '5e5117bb4ed687673b956b74'},1231175917948542976,2020-02-22 11:16:27,happy,"Keep your phones nearby as our first takeover of the Saudi El Clasico between  and @ittihad takes place tomorrow. 👀📱

H…","RT @433: Keep your phones nearby as our first takeover of the Saudi El Clasico between @Alhilal_FC and @ittihad takes place tomorrow. 👀📱

H…"
1231175926840315906,{'$oid': '5e5117bb4ed687673b956b75'},1231175926840315906,2020-02-22 11:16:29,happy,"Dedicated to Thalapathy Vijay anna❤  
At Philippines airport 😁
#KuttyStory #Thalapathy65 #Master https://t.co/mDd…","RT @vivekars1: Dedicated to Thalapathy Vijay anna❤ @actorvijay 
At Philippines airport 😁
#KuttyStory #Thalapathy65 #Master https://t.co/mDd…"
1231175932091613185,{'$oid': '5e5117bb4ed687673b956b76'},1231175932091613185,2020-02-22 11:16:31,happy,Shopping sa Mitsui!! #Excited,Shopping sa Mitsui!! #Excited
1231175934813900802,{'$oid': '5e5117bb4ed687673b956b77'},1231175934813900802,2020-02-22 11:16:31,happy, @faizashaheen He is busy getting Blue passport photo ops done 😁,@jeremycorbyn @faizashaheen He is busy getting Blue passport photo ops done 😁
1231175936671772673,{'$oid': '5e5117bb4ed687673b956b78'},1231175936671772673,2020-02-22 11:16:32,happy, Triceps! 😁,@chobertz81 Triceps! 😁
1231175943257034752,{'$oid': '5e5117bb4ed687673b956b79'},1231175943257034752,2020-02-22 11:16:33,happy, @thanujaya @Salman_163 @AzzamAmeen I wasn't before I learnt Islam and started acting accordingly 😁,@Fehmida90715738 @thanujaya @Salman_163 @AzzamAmeen I wasn't before I learnt Islam and started acting accordingly 😁
1231175953700786177,{'$oid': '5e5117bb4ed687673b956b7a'},1231175953700786177,2020-02-22 11:16:36,happy,"Her Smile 😁

 💙💖 https://t.co/IAJKQbjksD","RT @Era_Of_Bliss: Her Smile 😁

@AlexaBliss_WWE 💙💖 https://t.co/IAJKQbjksD"
1231175962429018112,{'$oid': '5e5117bb4ed687673b956b7b'},1231175962429018112,2020-02-22 11:16:38,happy,"VVR Movie Ne Theater Lo Eni Tyms Choosaru 😁

Mine :- 3 Times 🔥😌

#35DToRAMCHARANs35thBday https://t.co/zSZQB4YNcV","RT @iam_shiva__: VVR Movie Ne Theater Lo Eni Tyms Choosaru 😁

Mine :- 3 Times 🔥😌

#35DToRAMCHARANs35thBday https://t.co/zSZQB4YNcV"
1231175962588372992,{'$oid': '5e5117bb4ed687673b956b7c'},1231175962588372992,2020-02-22 11:16:38,anger,Big bad wolf event yeheeey hording books 😁,Big bad wolf event yeheeey hording books 😁
1231175971128037376,{'$oid': '5e5117bb4ed687673b956b7d'},1231175971128037376,2020-02-22 11:16:40,happy,"Destiny strikes again 💙💛💚♥ 
Aldub U 
#ALDUBSunshineInMyLife","RT @AciertoMaris: Destiny strikes again 💙💛💚♥ 
Aldub U 
#ALDUBSunshineInMyLife"
1231175972034093056,{'$oid': '5e5117bb4ed687673b956b7e'},1231175972034093056,2020-02-22 11:16:40,happy,"Got there in the end 😁
#Lancaster #dambusters https://t.co/8WOeTkOReM","Got there in the end 😁
#Lancaster #dambusters https://t.co/8WOeTkOReM"
1231175975209062400,{'$oid': '5e5117bb4ed687673b956b7f'},1231175975209062400,2020-02-22 11:16:41,happy," Just updating, i got my data back. Thanks to you 😁","@BlizzardCS Just updating, i got my data back. Thanks to you 😁"
1231175976517718016,{'$oid': '5e5117bb4ed687673b956b80'},1231175976517718016,2020-02-22 11:16:41,happy,"Should we send a lot of LED trucks just like this to promote the new X1 unit around Seoul when they debut? 😁

#GoAllOutForX…","RT @WingsForX1: Should we send a lot of LED trucks just like this to promote the new X1 unit around Seoul when they debut? 😁

#GoAllOutForX…"
1231175977759277056,{'$oid': '5e5117bb4ed687673b956b81'},1231175977759277056,2020-02-22 11:16:41,happy, @MickRyanCFC47 @TBTVSport @ChristchurchFC_ @tadleycallevafc @SydWessex Could’ve called today’s game off  https://t.co/9tLeElqRFQ,@rmatank @MickRyanCFC47 @TBTVSport @ChristchurchFC_ @tadleycallevafc @SydWessex Could’ve called today’s game off 10… https://t.co/9tLeElqRFQ
1231176006557405185,{'$oid': '5e5117bb4ed687673b956b82'},1231176006557405185,2020-02-22 11:16:48,happy,Your resignation 😁 https://t.co/UFiN5boO1q,RT @JOSIE24055239: Your resignation 😁 https://t.co/UFiN5boO1q
1231176561384136704,{'$oid': '5e5117bb4ed687673b956b83'},1231176561384136704,2020-02-22 11:19:01,happy,Here we go Clone Wars! 😁 https://t.co/2zG320yGZY,Here we go Clone Wars! 😁 https://t.co/2zG320yGZY
1231176577926533122,{'$oid': '5e5117bb4ed687673b956b84'},1231176577926533122,2020-02-22 11:19:04,happy, @Mladen769 Trust me you will come too like a lot more characters a lot MORE 😁 Togashi is just a  https://t.co/Pf9TK7H5Wu,@FprodX @Mladen769 Trust me you will come too like a lot more characters a lot MORE 😁 Togashi is just a mastermind… https://t.co/Pf9TK7H5Wu
1231176598772011008,{'$oid': '5e5117bb4ed687673b956b85'},1231176598772011008,2020-02-22 11:19:09,happy,"Tym pass poll 😁

Fav : oreo

Retweet : Hide and seek https://t.co/2mD7MkpRAe","RT @meghanath9999: Tym pass poll 😁

Fav : oreo

Retweet : Hide and seek https://t.co/2mD7MkpRAe"
1231176603826180097,{'$oid': '5e5117bb4ed687673b956b86'},1231176603826180097,2020-02-22 11:19:11,excitement,wuicks.. 😁,wuicks.. 😁
1231176607164858369,{'$oid': '5e5117bb4ed687673b956b87'},1231176607164858369,2020-02-22 11:19:11,happy,Thank you for being the reason i smile. 😁 #FocusForGXXOD #ก็อตอิทธิพัทธ์ https://t.co/ROdOTZfsMx,RT @koii_bio: Thank you for being the reason i smile. 😁 #FocusForGXXOD #ก็อตอิทธิพัทธ์ https://t.co/ROdOTZfsMx
1231176622809677824,{'$oid': '5e5117bb4ed687673b956b88'},1231176622809677824,2020-02-22 11:19:15,fear,"~ I got some crumbs on ep.11 yeah when sukai called again 😁 

~ another one when sukai choose the position he want for…","RT @thefoxessibling: ~ I got some crumbs on ep.11 yeah when sukai called again 😁 

~ another one when sukai choose the position he want for…"
1231176630594240514,{'$oid': '5e5117bb4ed687673b956b89'},1231176630594240514,2020-02-22 11:19:17,anger,LMFAOO my brother got a bts spotify ad nd he keeps complaining i will Simply blast louder than bombs on repeat 😁,LMFAOO my brother got a bts spotify ad nd he keeps complaining i will Simply blast louder than bombs on repeat 😁
