id_str,_id,_cls,id_str,emotion_label,text,created_at
1231175910751195137,{'$oid': '5e510daca6ff73bada737c0f'},Tweet,1231175910751195137,excitement,"Getting ready for action 😁
#Shadowhunters #SaveShadowhunters https://t.co/Ock3lJWuPs",2020-02-22 11:16:25
1231175913611636736,{'$oid': '5e510daca6ff73bada737c10'},Tweet,1231175913611636736,excitement,"@NthabeyK Yeyi am with you there, me &amp; needles🏃🏾‍♂️🏃🏾‍♂️ I once attempted to sew my shirt button &amp; pricked my finge… https://t.co/hmmzLWEjoN",2020-02-22 11:16:26
1231175917948542976,{'$oid': '5e510daca6ff73bada737c12'},Tweet,1231175917948542976,excitement,"RT @433: Keep your phones nearby as our first takeover of the Saudi El Clasico between @Alhilal_FC and @ittihad takes place tomorrow. 👀📱

H…",2020-02-22 11:16:27
1231175926840315906,{'$oid': '5e510daca6ff73bada737c13'},Tweet,1231175926840315906,excitement,"RT @vivekars1: Dedicated to Thalapathy Vijay anna❤ @actorvijay 
At Philippines airport 😁
#KuttyStory #Thalapathy65 #Master https://t.co/mDd…",2020-02-22 11:16:29
1231175932091613185,{'$oid': '5e510daca6ff73bada737c14'},Tweet,1231175932091613185,excitement,Shopping sa Mitsui!! #Excited,2020-02-22 11:16:31
1231175934813900802,{'$oid': '5e510daca6ff73bada737c15'},Tweet,1231175934813900802,excitement,@jeremycorbyn @faizashaheen He is busy getting Blue passport photo ops done 😁,2020-02-22 11:16:31
1231175936671772673,{'$oid': '5e510daca6ff73bada737c16'},Tweet,1231175936671772673,excitement,@chobertz81 Triceps! 😁,2020-02-22 11:16:32
1231175943257034752,{'$oid': '5e510daca6ff73bada737c17'},Tweet,1231175943257034752,excitement,@Fehmida90715738 @thanujaya @Salman_163 @AzzamAmeen I wasn't before I learnt Islam and started acting accordingly 😁,2020-02-22 11:16:33
1231175953700786177,{'$oid': '5e510daca6ff73bada737c18'},Tweet,1231175953700786177,excitement,"RT @Era_Of_Bliss: Her Smile 😁

@AlexaBliss_WWE 💙💖 https://t.co/IAJKQbjksD",2020-02-22 11:16:36
1231175962429018112,{'$oid': '5e510daca6ff73bada737c1a'},Tweet,1231175962429018112,excitement,"RT @iam_shiva__: VVR Movie Ne Theater Lo Eni Tyms Choosaru 😁

Mine :- 3 Times 🔥😌

#35DToRAMCHARANs35thBday https://t.co/zSZQB4YNcV",2020-02-22 11:16:38
1231175962588372992,{'$oid': '5e510daca6ff73bada737c1b'},Tweet,1231175962588372992,excitement,Big bad wolf event yeheeey hording books 😁,2020-02-22 11:16:38
1231175971128037376,{'$oid': '5e510daca6ff73bada737c1c'},Tweet,1231175971128037376,excitement,"RT @AciertoMaris: Destiny strikes again 💙💛💚♥ 
Aldub U 
#ALDUBSunshineInMyLife",2020-02-22 11:16:40
1231175972034093056,{'$oid': '5e510daca6ff73bada737c1d'},Tweet,1231175972034093056,excitement,"Got there in the end 😁
#Lancaster #dambusters https://t.co/8WOeTkOReM",2020-02-22 11:16:40
1231175975209062400,{'$oid': '5e510daca6ff73bada737c1e'},Tweet,1231175975209062400,excitement,"@BlizzardCS Just updating, i got my data back. Thanks to you 😁",2020-02-22 11:16:41
1231175976517718016,{'$oid': '5e510daca6ff73bada737c1f'},Tweet,1231175976517718016,excitement,"RT @WingsForX1: Should we send a lot of LED trucks just like this to promote the new X1 unit around Seoul when they debut? 😁

#GoAllOutForX…",2020-02-22 11:16:41
1231175977759277056,{'$oid': '5e510daca6ff73bada737c20'},Tweet,1231175977759277056,excitement,@rmatank @MickRyanCFC47 @TBTVSport @ChristchurchFC_ @tadleycallevafc @SydWessex Could’ve called today’s game off 10… https://t.co/9tLeElqRFQ,2020-02-22 11:16:41
1231176006557405185,{'$oid': '5e510daca6ff73bada737c22'},Tweet,1231176006557405185,excitement,RT @JOSIE24055239: Your resignation 😁 https://t.co/UFiN5boO1q,2020-02-22 11:16:48
1231176561384136704,{'$oid': '5e510e2a3598b201e9f4c283'},Tweet,1231176561384136704,excitement,Here we go Clone Wars! 😁 https://t.co/2zG320yGZY,2020-02-22 11:19:01
1231176577926533122,{'$oid': '5e510e2e3598b201e9f4c286'},Tweet,1231176577926533122,excitement,@FprodX @Mladen769 Trust me you will come too like a lot more characters a lot MORE 😁 Togashi is just a mastermind… https://t.co/Pf9TK7H5Wu,2020-02-22 11:19:04
1231176598772011008,{'$oid': '5e510e333598b201e9f4c288'},Tweet,1231176598772011008,excitement,"RT @meghanath9999: Tym pass poll 😁

Fav : oreo

Retweet : Hide and seek https://t.co/2mD7MkpRAe",2020-02-22 11:19:09
1231176603826180097,{'$oid': '5e510e343598b201e9f4c28a'},Tweet,1231176603826180097,excitement,wuicks.. 😁,2020-02-22 11:19:11
1231176607164858369,{'$oid': '5e510e353598b201e9f4c28b'},Tweet,1231176607164858369,excitement,RT @koii_bio: Thank you for being the reason i smile. 😁 #FocusForGXXOD #ก็อตอิทธิพัทธ์ https://t.co/ROdOTZfsMx,2020-02-22 11:19:11
1231176622809677824,{'$oid': '5e510e383598b201e9f4c28e'},Tweet,1231176622809677824,excitement,"RT @thefoxessibling: ~ I got some crumbs on ep.11 yeah when sukai called again 😁 

~ another one when sukai choose the position he want for…",2020-02-22 11:19:15
1231176630594240514,{'$oid': '5e510e3a3598b201e9f4c28f'},Tweet,1231176630594240514,excitement,LMFAOO my brother got a bts spotify ad nd he keeps complaining i will Simply blast louder than bombs on repeat 😁,2020-02-22 11:19:17
1231176636357210113,{'$oid': '5e510e3c3598b201e9f4c290'},Tweet,1231176636357210113,excitement,"RT @YoursEesha: Super fun song 😁 #SingleKingulam #A1Express good luck guys @sundeepkishan @Itslavanya 

https://t.co/dOySXIygu5",2020-02-22 11:19:18
1231176641562468353,{'$oid': '5e510e3d3598b201e9f4c291'},Tweet,1231176641562468353,excitement,Some great ideas here!! Sign me up for the Scavenger Hunt and the Desserts of NY tour 😁,2020-02-22 11:19:20
